get-middle-Parsons,70,67,14
check-guess-Parsons,85,84,6
alarm-clock-Parsons,77,75,5
speeding-Parsons,68,64,1
7_3_4_Average,37,36,1
7_5_3_Sum_100,30,29,0
7_5_5_Sum_From_50,29,28,1
7_6_1_Print-Sum-Evens,27,26,2
8_3_3_While_Countdown,25,25,1
8_2_4_While_Count_Even,23,23,1
ch88ex1muc,3,3,0
ch88ex2muc,3,3,0
ch88ex3muc,3,3,1
ch88ex4muc,2,2,1
ch88ex5muc,2,2,0
ch88ex6muc,2,2,0
ch88ex7muc,2,2,0
ch88ex8muc,2,2,1
ch88ex9muc,2,2,1
ch88ex10muc,2,2,0
10_1_2_Rectangle,15,14,1
10_2_2_Triangle,12,11,1
10_3_1_Turtle_Spiro,16,15,2
10_3_2_Turtle_Spiro_Blue_Red,11,10,1
10_4_1_turtle-stamp,12,11,2
10_4_2_turtle-circle,10,9,0
10_5_1_turtle-x,10,9,0
10_5_2_turtle-squares,8,7,1
5_1_1_Turtle_L,38,36,1
5_1_2_Turtle_Check,30,29,1
5_2_1_Turtle-T,30,28,0
5_2_2_Turtle-A,22,19,0
loop_avg_drop_lowest,75,73,4
sum-odd-parsons,75,75,6
filter_words-Parsons,74,73,2
sum13-parsons,73,70,3
6_3_3_Triangle_Procedure,2,2,0
5_2_1_DrawZ,21,20,0
5_2_1_DrawN,18,18,2
5_3_1_DrawF,16,15,1
5_3_2_DrawA,16,15,0
5_4_2_JandT,15,13,0
5_4_3_JandT2,14,13,0
5_5_1_Turtle_House,17,14,1
5_5_2_Turtle_House2,15,14,0
ch5ex1muc,4,4,1
ch5ex2muc,3,3,0
ch5ex3muc,3,3,0
ch5ex4muc,3,3,0
ch5ex5muc,3,2,1
ch5ex6muc,3,3,0
ch5ex7muc,3,3,0
turtleRep1,133,131,5
turtleRep2,133,131,1
turtleRep3,133,125,6
turtle-spiral-Parsons,133,127,4
pNumGuess1v2,133,130,6
pItem1,131,130,1
pPersonClass1,88,86,1
pCar1,57,56,0
unittest-car,134,132,6
unittest-square,132,131,3
unittest-sum,132,129,4
count_lines-Parsons,131,131,3
count_subject-Parsons,129,126,5
mt1dict1,130,130,3
mt1dictcolors,130,130,3
pItemmt1,130,130,0
mt1turtrect,130,130,3
list_loop_mt1,130,130,3
write-modified-Parsons,126,125,3
top-ten-Parsons,121,118,5
max_poll2-Parsons,122,121,3
ch3ex1muc,2,2,0
ch3ex2muc,2,2,0
ch3ex3muc,2,2,0
ch3ex4muc,2,2,0
ch3ex5muc,1,1,0
ch3ex6muc,1,1,0
ch3ex7muc,1,1,0
ch3ex8muc,1,1,0
ch3ex9muc,1,1,0
ch3ex10muc,1,1,0
ch3ex11muc,1,1,0
ch3ex12muc,2,1,0
ch4ex1muc,1,1,0
ch4ex2muc,1,1,0
ch4ex3muc,1,1,0
ch4ex4muc,1,1,0
ch4ex5muc,1,1,0
ch4ex6muc,1,1,0
ch4ex7muc,1,1,0
ch4ex8muc,1,1,0
ch4ex9muc,1,1,0
ch4ex10muc,1,1,0
ch17ex1muc,2,2,0
ch17ex2muc,2,2,0
ch17ex3muc,2,2,0
ch17ex4muc,2,2,0
ch17ex5muc,2,2,0
ch17ex6muc,2,2,0
ch17ex7muc,2,2,0
ch16ex1muc,2,2,0
ch16ex2muc,2,2,0
ch16ex3muc,2,2,0
ch16ex4muc,2,2,0
ch16ex5muc,2,2,0
ch16ex6muc,2,2,0
ch16ex7muc,2,2,0
18_3_1_printInfoForCity,1,1,0
midtermRegexCountSumsv2,134,133,6
htmlp1-v2,126,126,8
htmlp2,126,126,3
htmlp3,126,126,3
htmlp4,129,129,3
htmlp5,126,126,0
midtermFiindMonth,102,101,2
midtermRegexCountSums,100,100,3
p-regex_get_hosts,103,102,4
midtermGetLines,102,102,2
xml1,132,132,1
xml_1,133,133,3
xml_2,133,133,3
json_read_file1,132,132,5
json_list1,131,131,0
json_req1,130,129,5
json_pp1,114,114,7
json_pp2,114,114,5
dbsel1,129,129,4
db2exv2,127,127,7
exp1_pp1a,101,99,4
exp1_pp3,96,96,1
exp1_q5_pp,93,90,3
Count_Target_In_Range_Order,83,80,0
Total_Dict_Values_PP,84,82,0
plot_pp1,124,124,2
3_6_1_Ketchup_Speed,1,1,0
3_7_4_Per_Person_Cost,1,1,0
6_4_4_Draw_Squares,1,1,0
